keys,en,he
WAVE_5_SUBTITLE,"Heavy units inbound. Cannon soldiers target your walls.
Reinforce your defenses before they breach.","יחידות כבדות בדרך. חיילי תותח מכוונים לחומותיך.
חזק את ההגנות לפני שיפרצו."
WAVE_6_TITLE,WAVE 6,גל 6
WAVE_6_SUBTITLE,"They are adapting. More cannons, more firepower.
Fortify and hold.","הם מסתגלים. יותר תותחים, יותר עוצמת אש.
חזק והחזק."
WAVE_7_TITLE,WAVE 7 — BOSS,גל 7 — בוס
WAVE_7_SUBTITLE,"THE TANK IS HERE. One armored unit — nearly indestructible.
Destroy it before it destroys everything.","הטנק כאן. יחידה משוריינת אחת — כמעט בלתי ניתנת להשמדה.
השמד אותה לפני שהיא תשמיד הכל."
WAVE_AUTO_TITLE,WAVE %d,גל %d
WAVE_AUTO_SUBTITLE,"More hostiles inbound. Stay disciplined, stay alive.","עוד כוחות עוינים בדרך. תישאר ממושמע, תישאר בחיים."
WAVE_SUFFIX_COMPLETE,COMPLETE,הושלם
DOWNED_OVERLAY,"YOU ARE DOWN
Waiting for your partner to revive you...","אתה מת
ממתין לשותפך שיחייה אותך..."
REVIVING_LABEL,REVIVING...,מחייה...
PARTNER_DOWN_BANNER,⚠  PARTNER DOWN  –  GAME OVER,⚠  השותף נפל  –  סיום משחק
PARTNER_DISCONNECTED_BANNER,⚡  PARTNER DISCONNECTED,⚡  השותף התנתק
PARTNER_DOWN_LABEL,⚠ %s DOWN,⚠ %s נפל
DISTANCE_LABEL,%.0fm,%.0fm
GAME_OVER_TITLE,GAME  OVER,סיום  משחק
WAVE_REACHED_LABEL,WAVE REACHED,גל הגעה
NEW_RECORD_BADGE,✨  NEW RECORD!,✨  שיא חדש!
BEST_WAVE_ROW,🏆  BEST:,🏆  הישג:
PLAY_AGAIN_BTN,▶  PLAY AGAIN,▶  שחק שוב
MAIN_MENU_BTN,⬅  MAIN MENU,⬅  תפריט ראשי
TUTORIAL_0,"Build your base!
Tap CAMP to choose
a structure template","בנה את הבסיס שלך!
הקש CAMP לבחור
תבנית מבנה"
TUTORIAL_1,"Move to position
then tap BUILD
to place your camp","התקדם למיקום
ואז הקש BUILD
להציב את המחנה"
TUTORIAL_2,"Tap to Open or
Close your
camp GATES!","הקש לפתוח או
לסגור את
שערי המחנה!"
TUTORIAL_4,"Need backup?
Tap here to call
a SQUAD to your aid!","צריך גיבוי?
הקש כאן לקרוא
לצוות לעזרתך!"
